titre,ville,code_postal,prix,surface,type_bien,pieces,url,prix_m2,latitude,longitude
43m² à vincennes,Vincennes,94300,274000,43,Autres,,https://www.etreproprio.com/immobilier-23921663-vente-43m-a-vincennes-vincennes,6372,48.8474508,2.4396714
80m² à vincennes,Vincennes,94300,498600,80,Autres,,https://www.etreproprio.com/immobilier-23921664-vente-80m-a-vincennes-vincennes,6232,48.8474508,2.4396714
2 pièces 39m²  / vincennes,Vincennes,94300,330000,39,Appartements,2,https://www.etreproprio.com/immobilier-23926562-vente-2-pieces-39m-vincennes-vincennes,8462,48.8474508,2.4396714
Vincennes - centre-ville - appartement 2p - sur cour arborée,Vincennes,94300,399000,37,Appartements,2,https://www.etreproprio.com/immobilier-23919102-vente-vincennes-centre-ville-appartement-2p-sur-cour-arboree-vincennes,10784,48.8474508,2.4396714
Fonds de commerce à vendre vincennes (94),Vincennes,94300,99000,57,Commerces,2,https://www.etreproprio.com/immobilier-23562101-vente-fonds-de-commerce-a-vendre-vincennes-94-vincennes,1737,48.8474508,2.4396714
Appartement - 3 pièces - 1 chambre - vincennes,Vincennes,94300,415000,52,Appartements,2,https://www.etreproprio.com/immobilier-23917318-vente-appartement-3-pieces-1-chambre-vincennes-vincennes,7981,48.8474508,2.4396714
Appartement 25m² à vincennes,Vincennes,94300,255000,25,Appartements,1,https://www.etreproprio.com/immobilier-23916359-vente-appartement-25m-a-vincennes-vincennes,10200,48.8474508,2.4396714
Appartement vincennes 2 pièce(s) 45 m2,Vincennes,94300,280500,45,Appartements,2,https://www.etreproprio.com/immobilier-23754148-vente-appartement-vincennes-2-pieces-45-m2-vincennes,6233,48.8474508,2.4396714
Appartement 60m² à vincennes,Vincennes,94300,400000,60,Appartements,3,https://www.etreproprio.com/immobilier-23912570-vente-appartement-60m-a-vincennes-vincennes,6667,48.8474508,2.4396714
Terrain 200m² à vincennes,Vincennes,94300,195000,200,Terrains,,https://www.etreproprio.com/immobilier-23913540-vente-terrain-200m-a-vincennes-vincennes,975,48.8474508,2.4396714
"Appartement 2 pieces + combles - 44,06 m2",Vincennes,94300,349000,44,Appartements,2,https://www.etreproprio.com/immobilier-23917427-vente-appartement-2-pieces-combles-4406-m2-vincennes,7932,48.8474508,2.4396714
Appartement vincennes 1 pièce(s) 10.25 m2,Vincennes,94300,116000,10,Appartements,1,https://www.etreproprio.com/immobilier-23909757-vente-appartement-vincennes-1-pieces-1025-m2-vincennes,11600,48.8474508,2.4396714
85m² à vincennes,Vincennes,94300,97000,85,Autres,,https://www.etreproprio.com/immobilier-23881711-vente-85m-a-vincennes-vincennes,1141,48.8474508,2.4396714
Appartement 32m² à vincennes,Vincennes,94300,250500,32,Appartements,2,https://www.etreproprio.com/immobilier-23896609-vente-appartement-32m-a-vincennes-vincennes,7828,48.8474508,2.4396714
Vincennes : appartement 2 pièces 55.63 m2 avec balcon,Vincennes,94300,430000,56,Appartements,2,https://www.etreproprio.com/immobilier-23892364-vente-vincennes-appartement-2-pieces-5563-m2-avec-balcon-vincennes,7679,48.8474508,2.4396714
Vincennes appartement de 3 pièces de 67 m2,Vincennes,94300,614000,67,Appartements,3,https://www.etreproprio.com/immobilier-23827581-vente-vincennes-appartement-de-3-pieces-de-67-m2-vincennes,9164,48.8474508,2.4396714
Appartement vincennes 2 pièce(s) 32.09 m2,Vincennes,94300,250050,32,Appartements,2,https://www.etreproprio.com/immobilier-23543640-vente-appartement-vincennes-2-pieces-3209-m2-vincennes,7814,48.8474508,2.4396714
Appartement 67m² à vincennes,Vincennes,94300,665000,67,Appartements,3,https://www.etreproprio.com/immobilier-23526468-vente-appartement-67m-a-vincennes-vincennes,9925,48.8474508,2.4396714
Appartement 51m² à vincennes,Vincennes,94300,385000,52,Appartements,2,https://www.etreproprio.com/immobilier-23889972-vente-appartement-51m-a-vincennes-vincennes,7404,48.8474508,2.4396714
"Hyper-centre de vincennes - 27,41m2",Vincennes,94300,275000,27,Appartements,1,https://www.etreproprio.com/immobilier-23885673-vente-hyper-centre-de-vincennes-2741m2-vincennes,10185,48.8474508,2.4396714
Appartement 174m² à vincennes,Vincennes,94300,1120000,174,Appartements,5,https://www.etreproprio.com/immobilier-23879847-vente-appartement-174m-a-vincennes-vincennes,6437,48.8474508,2.4396714
Appartement 28m² à vincennes,Vincennes,94300,249000,28,Appartements,2,https://www.etreproprio.com/immobilier-23884831-vente-appartement-28m-a-vincennes-vincennes,8893,48.8474508,2.4396714
Murs commerciaux,Vincennes,94300,450000,87,Commerces,,https://www.etreproprio.com/immobilier-23886857-vente-murs-commerciaux-vincennes,5172,48.8474508,2.4396714
Appartement vincennes 2 pièce(s) 34 m2,Vincennes,94300,270000,33,Appartements,2,https://www.etreproprio.com/immobilier-23762708-vente-appartement-vincennes-2-pieces-34-m2-vincennes,8182,48.8474508,2.4396714
Studio bérault,Vincennes,94300,188000,19,Appartements,1,https://www.etreproprio.com/immobilier-23878214-vente-studio-berault-vincennes,9895,48.8474508,2.4396714
Parking 10m² à vincennes,Vincennes,94300,22500,10,Parkings,,https://www.etreproprio.com/immobilier-23729164-vente-parking-10m-a-vincennes-vincennes,2250,48.8474508,2.4396714
Vincennes appartement de 3 pièces de 53 m2,Vincennes,94300,485000,53,Appartements,3,https://www.etreproprio.com/immobilier-23878670-vente-vincennes-appartement-de-3-pieces-de-53-m2-vincennes,9151,48.8474508,2.4396714
Appartement de 46m² avec 4m² d'exterieur(s),Vincennes,94300,546000,46,Appartements,2,https://www.etreproprio.com/immobilier-23869618-vente-appartement-de-46m-avec-4m-d-exterieurs-vincennes,11870,48.8474508,2.4396714
Vincennes / 2-3 pièces / jardin privatif,Vincennes,94300,430000,50,Appartements,3,https://www.etreproprio.com/immobilier-23682404-vente-vincennes-2-3-pieces-jardin-privatif-vincennes,8600,48.8474508,2.4396714
"A montreuil, limite vincennes",Vincennes,94300,399000,50,Appartements,3,https://www.etreproprio.com/immobilier-23875720-vente-a-montreuil-limite-vincennes-vincennes,7980,48.8474508,2.4396714
Appartement 35m² à vincennes,Vincennes,94300,283000,35,Appartements,2,https://www.etreproprio.com/immobilier-23575975-vente-appartement-35m-a-vincennes-vincennes,8086,48.8474508,2.4396714
Exceptionnel - studio rue du midi dernier etage,Vincennes,94300,237000,21,Appartements,1,https://www.etreproprio.com/immobilier-23870398-vente-exceptionnel-studio-rue-du-midi-dernier-etage-vincennes,11286,48.8474508,2.4396714
Appartement à vendre 2 pièces vincennes (94),Vincennes,94300,430000,46,Appartements,2,https://www.etreproprio.com/immobilier-23875451-vente-appartement-a-vendre-2-pieces-vincennes-94-vincennes,9348,48.8474508,2.4396714
Superbe appartement 3 pièces avec balcons sur jardin,Vincennes,94300,726900,73,Appartements,3,https://www.etreproprio.com/immobilier-23623250-vente-superbe-appartement-3-pieces-avec-balcons-sur-jardin-vincennes,9958,48.8474508,2.4396714
2 pieces - terrasse - qt republique,Vincennes,94300,495000,41,Appartements,2,https://www.etreproprio.com/immobilier-23864107-vente-2-pieces-terrasse-qt-republique-vincennes,12073,48.8474508,2.4396714
Appartement 55 m2 avec ascenseur à vincennes,Vincennes,94300,504000,55,Appartements,2,https://www.etreproprio.com/immobilier-23866698-vente-appartement-55-m2-avec-ascenseur-a-vincennes-vincennes,9164,48.8474508,2.4396714
Commerce 35m² à vincennes,Vincennes,94300,360000,35,Commerces,1,https://www.etreproprio.com/immobilier-23857970-vente-commerce-35m-a-vincennes-vincennes,10286,48.8474508,2.4396714
